City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Moerai,-22.4333,-151.3333,74.12,81,13,13.51,PF,few clouds
1,Pemangkat,1.1667,108.9667,79.09,83,100,5.46,ID,overcast clouds
2,Saskylakh,71.9167,114.0833,31.28,98,100,6.73,RU,light snow
3,Basoko,1.2391,23.616,71.92,88,58,0.63,CD,broken clouds
4,Ucluelet,48.9329,-125.5528,65.08,60,0,4.63,CA,clear sky
5,Khatanga,71.9667,102.5,25.12,83,11,9.19,RU,few clouds
6,Port Alfred,-33.5906,26.891,57.18,95,100,3.0,ZA,light rain
7,Yellowknife,62.456,-114.3525,45.12,93,100,12.66,CA,overcast clouds
8,Jamestown,42.097,-79.2353,80.02,46,40,10.0,US,scattered clouds
9,New Norfolk,-42.7826,147.0587,48.7,80,100,3.62,AU,heavy intensity rain
10,Mataura,-46.1927,168.8643,46.47,78,100,3.29,NZ,light rain
11,Hithadhoo,-0.6,73.0833,81.86,75,100,8.48,MV,overcast clouds
12,Finschhafen,-6.6024,147.8681,78.62,78,100,9.37,PG,overcast clouds
13,Rikitea,-23.1203,-134.9692,72.23,64,10,15.75,PF,clear sky
14,Lahaina,20.8783,-156.6825,84.2,77,100,6.22,US,overcast clouds
15,Busselton,-33.65,115.3333,51.12,91,100,14.67,AU,overcast clouds
16,Bambous Virieux,-20.3428,57.7575,71.85,78,75,13.8,MU,light rain
17,Victoria,22.2855,114.1577,84.38,87,21,11.01,HK,few clouds
18,Ushuaia,-54.8,-68.3,46.06,61,0,10.36,AR,clear sky
19,Dikson,73.5069,80.5464,31.32,79,13,18.54,RU,few clouds
20,Emerald,-23.5333,148.1667,65.25,64,0,4.74,AU,clear sky
21,Kapaa,22.0752,-159.319,81.12,84,75,5.99,US,broken clouds
22,Fontem,5.4685,9.8818,66.88,97,100,1.23,CM,light rain
23,Mbandaka,0.0487,18.2603,72.27,94,93,2.75,CD,overcast clouds
24,Mayo,38.8876,-76.5119,87.21,57,0,8.05,US,clear sky
25,Longyearbyen,78.2186,15.6401,31.84,74,75,5.75,SJ,broken clouds
26,Chipinge,-20.1883,32.6236,64.96,53,0,8.59,ZW,clear sky
27,Springfield,37.2153,-93.2982,91.92,59,0,14.97,US,clear sky
28,Nioro,13.35,-15.75,75.0,93,100,3.74,GM,overcast clouds
29,Mahebourg,-20.4081,57.7,71.89,78,75,13.8,MU,broken clouds
30,Mercedes,-34.6515,-59.4307,74.79,42,100,3.91,AR,light rain
31,Christchurch,-43.5333,172.6333,54.95,60,20,9.22,NZ,few clouds
32,Avarua,-21.2078,-159.775,77.05,78,75,6.91,CK,broken clouds
33,Nyuksenitsa,60.4128,44.2397,47.8,83,100,5.12,RU,overcast clouds
34,Atuona,-9.8,-139.0333,76.95,73,7,21.45,PF,clear sky
35,Provideniya,64.3833,-173.3,41.54,82,100,3.51,RU,overcast clouds
36,Rocha,-34.4833,-54.3333,65.91,67,100,10.49,UY,overcast clouds
37,Polis,35.0367,32.4264,76.82,74,0,7.11,CY,clear sky
38,Maple Creek,49.9168,-109.4848,71.65,28,99,4.61,CA,overcast clouds
39,Magadan,59.5667,150.8,42.13,87,100,5.57,RU,overcast clouds
40,Torbay,47.6666,-52.7314,55.49,86,75,19.57,CA,shower rain
41,Seymchan,62.8833,152.4333,36.57,61,95,3.58,RU,overcast clouds
42,Mount Isa,-20.7333,139.5,69.57,26,0,3.44,AU,clear sky
43,Faanui,-16.4833,-151.75,78.49,70,14,20.74,PF,few clouds
44,Holland,42.7875,-86.1089,83.16,73,0,5.75,US,clear sky
45,Conceicao Da Barra,-18.5933,-39.7322,71.6,65,93,10.04,BR,overcast clouds
46,Salalah,17.0151,54.0924,79.88,87,75,6.53,OM,broken clouds
47,Tuktoyaktuk,69.4541,-133.0374,46.4,81,75,10.36,CA,broken clouds
48,Udachnyy,66.4167,112.4,28.45,63,100,5.88,RU,overcast clouds
49,Bulri,24.8667,68.3333,81.16,69,0,8.88,PK,clear sky
50,Castro,-24.7911,-50.0119,66.94,53,0,7.9,BR,clear sky
51,Upernavik,72.7868,-56.1549,38.16,76,98,5.95,GL,overcast clouds
52,Cape Town,-33.9258,18.4232,57.27,61,20,14.97,ZA,few clouds
53,Hay River,60.8156,-115.7999,60.76,55,75,8.05,CA,broken clouds
54,Zhigansk,66.7697,123.3711,31.69,87,99,14.16,RU,overcast clouds
55,Bethel,41.3712,-73.414,83.89,61,0,9.22,US,clear sky
56,Nakhon Sawan,15.7,100.0833,75.51,94,100,3.69,TH,light rain
57,Bluff,-46.6,168.3333,46.8,74,100,10.18,NZ,light rain
58,Deputatskiy,69.3,139.9,28.63,97,100,4.09,RU,overcast clouds
59,Samarai,-10.6167,150.6667,80.73,84,100,14.5,PG,overcast clouds
60,Komsomolets,53.7453,62.0708,61.61,42,31,7.67,KZ,scattered clouds
61,Kodiak,57.79,-152.4072,51.91,74,100,2.53,US,overcast clouds
62,Ponta Do Sol,32.6667,-17.1,77.0,97,50,2.86,PT,light rain
63,Devonport,-41.1667,146.35,48.02,82,35,10.56,AU,scattered clouds
64,Saldanha,-33.0117,17.9442,55.45,68,68,28.23,ZA,broken clouds
65,Laguna,38.421,-121.4238,72.45,58,75,8.01,US,broken clouds
66,Ilulissat,69.2167,-51.1,36.81,98,100,1.86,GL,overcast clouds
67,Forestville,38.8451,-76.875,86.34,52,0,10.36,US,clear sky
68,Bilma,18.6853,12.9164,95.14,29,52,7.54,NE,broken clouds
69,Henties Bay,-22.116,14.2845,54.99,89,0,14.7,NA,clear sky
70,Cabo San Lucas,22.8909,-109.9124,91.62,69,90,7.27,MX,overcast clouds
71,Aklavik,68.2191,-135.0107,53.6,58,75,4.61,CA,broken clouds
72,Birao,10.2849,22.7882,74.26,84,13,1.79,CF,few clouds
73,San Carlos De Bariloche,-41.1456,-71.3082,42.24,79,75,13.8,AR,broken clouds
74,Airai,-8.9266,125.4092,58.68,53,100,2.62,TL,overcast clouds
75,Fairbanks,64.8378,-147.7164,49.08,81,75,4.61,US,broken clouds
76,Pevek,69.7008,170.3133,32.56,97,100,17.58,RU,light snow
77,Hilo,19.7297,-155.09,81.28,83,32,3.0,US,scattered clouds
78,Chuy,-33.6971,-53.4616,61.83,75,100,13.06,UY,overcast clouds
79,Hermanus,-34.4187,19.2345,50.81,70,88,10.96,ZA,overcast clouds
80,Teguise,29.0605,-13.564,71.82,88,40,6.91,ES,scattered clouds
81,Lebu,-37.6167,-73.65,49.06,57,3,9.24,CL,clear sky
82,Puerto Ayora,-0.7393,-90.3518,76.96,79,63,5.99,EC,broken clouds
83,Severo-Kurilsk,50.6789,156.125,51.08,92,100,14.36,RU,overcast clouds
84,Yumen,40.2833,97.2,64.15,48,100,14.03,CN,overcast clouds
85,Port-Gentil,-0.7193,8.7815,78.76,78,75,12.66,GA,broken clouds
86,Mar Del Plata,-38.0023,-57.5575,60.82,95,40,14.0,AR,scattered clouds
87,Alcantara,-2.4089,-44.4147,88.0,67,98,9.95,BR,overcast clouds
88,Espinosa,-14.9261,-42.8192,86.99,32,81,7.96,BR,broken clouds
89,Narsaq,60.9167,-46.05,51.76,63,100,3.53,GL,overcast clouds
90,Nikolskoye,59.7035,30.7861,51.69,83,90,1.32,RU,overcast clouds
91,Bonthe,7.5264,-12.505,75.15,90,100,6.2,SL,light rain
92,Iqaluit,63.7506,-68.5145,46.13,61,20,21.85,CA,few clouds
93,Srednekolymsk,67.45,153.6833,32.36,70,15,9.13,RU,few clouds
94,Punta Arenas,-53.15,-70.9167,46.51,46,0,9.22,CL,clear sky
95,Mocuba,-16.8392,36.9856,74.28,60,0,8.72,MZ,clear sky
96,Hobart,-42.8794,147.3294,49.05,85,40,8.05,AU,light rain
97,Pacific Grove,36.6177,-121.9166,66.09,82,100,21.99,US,light rain
98,Ateli,28.1,76.2833,83.86,48,7,4.52,IN,clear sky
99,Thompson,55.7435,-97.8558,55.56,94,100,2.3,CA,overcast clouds
100,Margate,51.3813,1.3862,59.88,63,99,7.0,GB,overcast clouds
101,Qaanaaq,77.484,-69.3632,26.6,56,0,9.13,GL,clear sky
102,Beoumi,7.6736,-5.5764,74.48,84,35,3.04,CI,scattered clouds
103,Kruisfontein,-34.0033,24.7314,53.85,84,100,10.89,ZA,overcast clouds
104,Port Lincoln,-34.7333,135.8667,48.34,77,0,4.47,AU,clear sky
105,Coahuayana,18.7333,-103.6833,74.98,99,100,4.05,MX,overcast clouds
106,Luderitz,-26.6481,15.1594,54.54,75,0,21.12,NA,clear sky
107,Ginda,30.6945,78.4932,61.18,86,8,4.83,IN,clear sky
108,Oytal,42.9057,73.2697,68.61,32,23,2.33,KZ,few clouds
109,Ferrol,43.4832,-8.2369,71.24,70,100,12.19,ES,overcast clouds
110,Vardo,70.3705,31.1107,46.38,93,75,13.8,NO,moderate rain
111,Tiksi,71.6872,128.8694,31.62,74,98,3.44,RU,overcast clouds
112,Saint-Pierre,-21.3393,55.4781,69.48,68,20,2.3,RE,few clouds
113,Rosetown,51.5501,-108.0014,65.66,36,100,3.44,CA,overcast clouds
114,Bahia Blanca,-38.7196,-62.2724,52.32,100,100,5.75,AR,light rain
115,Sitka,57.0531,-135.33,55.29,94,100,5.75,US,light rain
116,Barrow,71.2906,-156.7887,37.83,90,100,16.33,US,overcast clouds
117,East London,-33.0153,27.9116,58.14,94,0,10.36,ZA,clear sky
118,Tasiilaq,65.6145,-37.6368,42.13,94,100,24.23,GL,moderate rain
119,Chokurdakh,70.6333,147.9167,31.98,75,12,7.25,RU,few clouds
120,Ancud,-41.8697,-73.8203,47.23,62,81,9.26,CL,broken clouds
121,Coquimbo,-29.9533,-71.3436,62.33,59,0,13.8,CL,clear sky
122,Zaysan,47.4667,84.8667,52.65,37,0,3.98,KZ,clear sky
123,Punta Alta,-38.8759,-62.0736,52.57,100,100,5.75,AR,moderate rain
124,Ribeira Grande,38.5167,-28.7,77.4,88,75,10.36,PT,broken clouds
125,Tuatapere,-46.1333,167.6833,46.42,86,100,7.4,NZ,light rain
126,Shiyan,32.6475,110.7781,72.43,75,100,1.32,CN,overcast clouds
127,Codrington,-38.2667,141.9667,44.47,88,8,8.46,AU,clear sky
128,Saint-Philippe,-21.3585,55.7679,69.39,83,50,14.81,RE,light rain
129,Skibbereen,51.55,-9.2667,55.02,78,61,5.73,IE,broken clouds
130,Sao Filipe,14.8961,-24.4956,78.3,75,20,7.96,CV,few clouds
131,Hobyo,5.3505,48.5268,76.8,87,96,25.84,SO,overcast clouds
132,Gulbarga,17.3333,76.8333,76.15,79,100,10.83,IN,overcast clouds
133,Bredasdorp,-34.5322,20.0403,51.06,87,88,5.26,ZA,light rain
134,Fethiye,36.6217,29.1164,78.67,70,0,3.42,TR,clear sky
135,Port Augusta,-32.5,137.7667,46.44,89,0,3.85,AU,clear sky
136,Ambagarh Chauki,20.7833,80.7167,75.13,91,97,4.47,IN,moderate rain
137,Opunake,-39.4556,173.8583,52.84,87,100,18.61,NZ,overcast clouds
138,Aksarka,66.5606,67.7975,46.62,96,100,7.31,RU,light rain
139,Kahului,20.8947,-156.47,82.85,77,100,7.0,US,overcast clouds
140,Port Elizabeth,-33.918,25.5701,57.49,97,20,12.66,ZA,light rain
141,Balingasay,16.3573,119.8564,81.03,79,100,10.58,PH,overcast clouds
142,Jaisalmer,26.9147,70.9181,88.47,36,0,11.32,IN,clear sky
143,Savannah Bight,16.45,-85.85,83.3,75,40,12.35,HN,scattered clouds
144,Kavieng,-2.5744,150.7967,80.8,80,80,11.68,PG,light rain
145,Ketchikan,55.3422,-131.6461,58.24,67,50,6.76,US,scattered clouds
146,Contamana,-7.3333,-75.0167,101.43,26,17,4.12,PE,few clouds
147,Albany,42.6001,-73.9662,82.63,68,100,10.92,US,overcast clouds
148,Clearwater,27.9659,-82.8001,87.93,74,100,15.99,US,overcast clouds
149,Akdepe,42.0551,59.3788,68.09,30,100,10.29,TM,overcast clouds
150,Klaksvik,62.2266,-6.589,45.52,69,88,7.29,FO,overcast clouds
151,Zdvinsk,54.7021,78.661,48.72,57,1,5.53,RU,clear sky
152,Korgen,66.0771,13.8153,52.18,84,100,3.0,NO,overcast clouds
153,Pangnirtung,66.1451,-65.7125,48.2,61,0,4.61,CA,clear sky
154,Nanortalik,60.1432,-45.2371,45.66,84,100,6.78,GL,light rain
155,Omboue,-1.5746,9.2618,76.08,81,100,7.23,GA,overcast clouds
156,Progreso,21.2833,-89.6667,92.1,65,3,14.72,MX,clear sky
157,Bathsheba,13.2167,-59.5167,88.41,70,75,12.66,BB,broken clouds
158,Talca,-35.4333,-71.6667,55.98,57,98,3.83,CL,overcast clouds
159,Namibe,-15.1961,12.1522,63.48,83,94,9.37,AO,overcast clouds
160,Dubovskoye,47.4092,42.7575,83.26,35,100,17.45,RU,overcast clouds
161,Batticaloa,7.7102,81.6924,80.69,74,100,6.29,LK,overcast clouds
162,Nova Olinda Do Norte,-3.8881,-59.0942,99.23,28,96,4.23,BR,overcast clouds
163,Jhudo,24.964,69.2968,82.11,67,0,10.54,PK,clear sky
164,Brae,60.3964,-1.353,48.38,71,85,12.59,GB,overcast clouds
165,Myitkyina,25.3833,97.4,75.09,99,29,0.72,MM,scattered clouds
166,Den Helder,52.9599,4.7593,58.98,61,20,15.01,NL,few clouds
167,Kovilpatti,9.1667,77.8667,82.27,66,85,10.58,IN,overcast clouds
168,Tonantins,-2.8731,-67.8022,90.81,52,96,2.8,BR,overcast clouds
169,Palu,-0.8917,119.8707,74.1,95,100,3.51,ID,overcast clouds
170,Moyale,3.5167,39.0584,72.52,45,5,10.69,KE,clear sky
171,Mangit,40.5971,70.9607,76.71,24,45,3.67,UZ,scattered clouds
172,Grindavik,63.8424,-22.4338,49.95,93,75,28.77,IS,light intensity drizzle
173,San Patricio,28.017,-97.5169,94.06,57,91,12.95,US,overcast clouds
174,Kampene,-3.6,26.6667,69.42,96,100,1.61,CD,light rain
175,Mlimba,-8.8,35.8167,75.85,45,37,3.47,TZ,scattered clouds
176,Raudeberg,61.9875,5.1352,50.67,73,64,21.14,NO,broken clouds
177,Nyrob,60.733,56.7202,46.76,87,100,4.36,RU,overcast clouds
178,Cayenne,4.9333,-52.3333,91.44,55,0,16.11,GF,clear sky
179,Ulaangom,49.9811,92.0667,43.97,67,0,0.02,MN,clear sky
180,Raton,36.9034,-104.4391,84.33,21,0,12.93,US,clear sky
181,Jacqueville,5.2052,-4.4146,76.12,87,40,11.99,CI,scattered clouds
182,Geraldton,-28.7667,114.6,59.41,88,75,14.97,AU,broken clouds
183,Nuuk,64.1835,-51.7216,46.47,79,100,7.78,GL,overcast clouds
184,Abadan,30.3392,48.3043,85.95,37,0,4.61,IR,clear sky
185,San Cristobal,7.7669,-72.225,84.38,54,22,7.92,VE,few clouds
186,Smithers,54.7804,-127.1743,46.72,76,20,2.3,CA,few clouds
187,Wattegama,6.7989,81.4808,77.76,77,100,5.93,LK,overcast clouds
188,Sunland Park,31.7965,-106.58,90.93,38,0,11.5,US,clear sky
189,Maicao,11.3832,-72.2432,91.09,52,100,7.4,CO,overcast clouds
190,Hasaki,35.7333,140.8333,79.29,88,100,20.0,JP,light rain
191,Jiwani,25.05,61.7417,80.37,81,0,11.77,PK,clear sky
192,Aracruz,-19.8203,-40.2733,70.81,64,84,7.31,BR,broken clouds
193,Tarakan,3.3,117.6333,80.1,89,40,2.3,ID,scattered clouds
194,Zhezkazgan,47.8043,67.7144,58.15,21,0,9.73,KZ,clear sky
195,Punta Gorda,26.9298,-82.0454,88.99,75,11,1.99,US,few clouds
196,Port Hardy,50.6996,-127.4199,50.18,93,20,3.44,CA,fog
197,Porto Velho,-8.7619,-63.9039,89.65,51,100,11.5,BR,overcast clouds
198,Vao,-22.6667,167.4833,72.52,78,0,14.9,NC,clear sky
199,Ahipara,-35.1667,173.1667,59.0,91,100,13.58,NZ,overcast clouds
200,Linz,48.3064,14.2861,52.68,84,40,11.5,AT,light rain
201,Poronaysk,49.2167,143.1167,53.1,95,80,4.14,RU,broken clouds
202,Kaitangata,-46.2817,169.8464,45.88,77,100,3.4,NZ,overcast clouds
203,Port Blair,11.6667,92.75,82.44,78,40,12.66,IN,mist
204,State College,40.7934,-77.86,82.81,53,53,11.01,US,broken clouds
205,Maldonado,-34.6667,-54.9167,70.99,61,100,11.61,UY,overcast clouds
206,Yarim,14.298,44.3779,62.55,61,100,2.1,YE,light rain
207,Portobelo,9.55,-79.65,80.11,80,82,2.73,PA,broken clouds
208,Vaini,-21.2,-175.2,71.76,94,75,8.05,TO,broken clouds
209,Autazes,-3.5797,-59.1306,98.67,28,71,4.16,BR,broken clouds
210,Great Falls,47.5002,-111.3008,70.68,49,100,4.79,US,overcast clouds
211,Sasolburg,-26.8136,27.817,68.67,16,8,10.56,ZA,clear sky
212,Cravo Norte,6.3017,-70.2041,91.35,47,53,4.97,CO,broken clouds
213,Aljezur,37.3191,-8.8033,74.84,76,100,6.53,PT,overcast clouds
214,Bad Ragaz,47.006,9.5027,56.14,92,42,4.03,CH,scattered clouds
215,Shevchenkove,49.6959,37.1735,69.4,61,7,19.39,UA,clear sky
216,Bosaso,11.2842,49.1816,89.56,55,7,0.87,SO,clear sky
217,Kenai,60.5544,-151.2583,54.09,76,18,3.94,US,few clouds
218,Arraial Do Cabo,-22.9661,-42.0278,73.36,60,20,13.8,BR,few clouds
219,Kutum,14.2,24.6667,81.46,38,63,8.19,SD,broken clouds
220,Kyabe,9.4515,18.9449,70.83,96,54,2.26,TD,broken clouds
221,Fortuna,40.5982,-124.1573,60.93,92,100,1.01,US,light rain
222,Takoradi,4.8845,-1.7554,75.72,85,100,10.11,GH,overcast clouds
